author_name,mock_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Dalton Miller,Pro Football Network,1,1,38.94,0.40625,0.34375,0.78125,1.0,8.46875
Nick Jacobs,KSHB,1,1,38.94,0.375,0.375,0.875,1.0,5.75
Zach Cohen,NFL Spin Zone,1,1,37.98,0.375,0.375,0.84375,1.0,5.53125
Nick Guarisco,Big Easy Sports Talk,1,1,37.02,0.3125,0.3125,0.75,1.0,9.53125
DJ Boyer,DraftSite,1,1,36.78,0.3125,0.3125,0.6875,1.0,9.21875
Staff,ESPN,1,1,36.54,0.3125,0.40625,0.78125,1.0,7.96875
Freddy Branson,Johns Hopkins News-Letter,1,1,36.3,0.375,0.3125,0.84375,1.0,9.53125
Jordan Reid,The Draft Network,1,1,36.3,0.34375,0.375,0.8125,1.0,7.34375
Les Bowen,Philadelphia Inquirer,1,1,36.3,0.3125,0.34375,0.78125,1.0,6.375
Staff,Fox Sports,1,1,36.06,0.3125,0.4375,0.84375,1.0,5.3125
Brendan Donahue,Sharp Football Analysis,1,1,34.86,0.3125,0.34375,0.84375,1.0,4.9375
Ben Allbright,Pro Football Network,2,2,34.495,0.328125,0.3125,0.8125,1.0,6.453125
Logan Ulrich,NFL Trade Rumors,2,2,34.375,0.328125,0.296875,0.796875,1.0,6.6875
Jacob Camenker,Riggo's Rag,3,2,33.973333333333336,0.3125,0.3229166666666667,0.8125,1.0,6.53125
Ryan Phillips,The Big Lead,1,1,33.89,0.28125,0.3125,0.75,1.0,8.53125
Dave Birkett,Detroit Free Press,1,1,33.65,0.375,0.34375,0.75,1.0,8.03125
Staff,UK Draft,1,1,33.65,0.3125,0.34375,0.78125,1.0,8.03125
Albert Breer,Sports Illustrated,1,1,33.65,0.28125,0.3125,0.78125,1.0,6.6875
Peter King,NBC Sports,1,1,33.41,0.3125,0.34375,0.75,1.0,8.46875
Joe Gilbert,Waiting For Next Year,1,1,33.17,0.28125,0.3125,0.6875,1.0,12.125
Joel Klatt,Fox Sports,1,1,32.21,0.28125,0.3125,0.84375,1.0,5.3125
Keegan Pope,Bleacher Report,1,1,31.49,0.28125,0.25,0.6875,1.0,13.5625
Bob McManaman,Arizona Republic,1,1,31.25,0.25,0.25,0.71875,1.0,9.25
Jacob Camenker,USA Today,1,1,31.01,0.28125,0.3125,0.875,1.0,6.40625
John Daigle,NBC Sports,1,1,31.01,0.28125,0.28125,0.84375,1.0,6.34375
Cecil Lammey,Denver Sports,1,1,31.01,0.25,0.4375,0.84375,1.0,5.71875
Staff,The Draft Network,1,1,31.01,0.25,0.28125,0.8125,1.0,6.84375
Brett Gibbons,The Lines,1,1,30.77,0.25,0.28125,0.78125,1.0,6.96875
Staff,Draftwire,1,1,30.77,0.25,0.28125,0.8125,1.0,7.3125
Andersen Pickard,Primetime Sports Talk,1,1,30.53,0.375,0.25,0.75,1.0,6.15625
Ryan McFadden,Denver Post,1,1,30.53,0.28125,0.3125,0.8125,1.0,5.125
Steve Seufert,Primetime Sports Talk,1,1,30.53,0.28125,0.28125,0.84375,1.0,4.8125
Ian Hartitz,Pro Football Focus,1,1,30.53,0.25,0.28125,0.75,1.0,8.1875
Staff,Daily Mail,1,1,30.29,0.28125,0.3125,0.875,1.0,5.53125
Shawn Wagner,Acme Packing Company,1,1,30.29,0.25,0.3125,0.78125,1.0,8.9375
Mike Kadlick,CLNS,1,1,30.05,0.25,0.3125,0.84375,1.0,5.53125
Matt Lombardo,Fansided,1,1,30.05,0.25,0.25,0.8125,1.0,9.28125
Brian Johannes,The Huddle Report,2,2,30.049999999999997,0.296875,0.28125,0.828125,1.0,7.15625
Ryan Pawloski,Still Curtain,1,1,29.81,0.28125,0.34375,0.78125,1.0,8.875
Sean Green,Sports Gambling Podcast,1,1,29.57,0.3225806451612903,0.3548387096774194,0.8064516129032258,1.0,7.67741935483871
Kyle Crabbs,The Draft Network,1,1,29.33,0.25,0.28125,0.8125,1.0,4.3125
Dan Kadar,SB Nation,1,1,29.09,0.21875,0.25,0.8125,1.0,8.1875
Zack Cox,NESN,1,1,28.85,0.21875,0.3125,0.8125,1.0,9.0625
Matt Miller,Bleacher Report,1,1,28.61,0.25,0.25,0.78125,1.0,8.5625
Frankie Taddeo,Sports Illustrated,1,1,28.61,0.25,0.21875,0.75,1.0,9.78125
Media,Bengals.com,1,1,28.37,0.25,0.25,0.75,1.0,8.8125
Scott Smith,Action Network,3,3,28.366666666666664,0.2604166666666667,0.28125,0.8229166666666666,1.0,6.458333333333333
Jared Smola,Draft Sharks,2,2,28.365000000000002,0.25,0.3125,0.890625,1.0,7.0625
Andy McNamara,Sportsnet,1,1,28.13,0.25,0.3125,0.8125,1.0,7.21875
Staff,Fansided,1,1,28.13,0.25,0.25,0.625,1.0,13.21875
Daniel Spencer,NFL Spin Zone,1,1,28.13,0.21875,0.21875,0.78125,1.0,8.40625
Albert Breer,SI,3,3,28.126666666666665,0.23958333333333334,0.28125,0.8541666666666666,1.0,5.729166666666667
Walter Cherepinsky,Walter Football,5,5,28.028,0.24375,0.29375,0.85625,1.0,6.61875
Ayrton Ostly,USA Today,1,1,27.88,0.28125,0.25,0.78125,1.0,11.59375
Jeff Schudel,News Herald,1,1,27.88,0.25,0.28125,0.8125,1.0,6.0
Dan Parr,NFL.com,1,1,27.88,0.25,0.21875,0.90625,1.0,5.40625
Jacob Infante,Pro Football Network,1,1,27.88,0.25,0.21875,0.84375,1.0,11.34375
Jared Wasserman,UD Review,1,1,27.88,0.21875,0.34375,0.8125,1.0,6.90625
Reuben Frank,NBC Sports Philadelphia,1,1,27.88,0.21875,0.28125,0.8125,1.0,6.625
Daniel Kitchen,Steelers Depot,1,1,27.88,0.21875,0.25,0.75,1.0,8.25
Kenneth Arthur,Turf Show Times,1,1,27.88,0.21875,0.25,0.6875,1.0,13.34375
Dan Kadar,Akron Beacon Journal,2,2,27.765,0.234375,0.25,0.78125,1.0,9.171875
Calvin Watkins,The Dallas Morning News,2,2,27.765,0.21875,0.21875,0.765625,1.0,7.96875
Matthew Freedman,Fantasy Life,2,2,27.64,0.234375,0.28125,0.859375,1.0,6.703125
Josh Norris,Rotoworld,1,1,27.64,0.21875,0.28125,0.78125,1.0,9.28125
Charles Davis,NFL.com,5,5,27.404000000000003,0.23125,0.25625,0.81875,1.0,7.33125
Matt Rooney,Bleacher Nation,1,1,27.4,0.25,0.28125,0.875,1.0,5.34375
Nick Klopsis,Newsday,1,1,27.4,0.21875,0.25,0.71875,1.0,7.03125
Jeff Ratcliffe,FTN Fantasy,2,2,27.28,0.234375,0.265625,0.875,1.0,5.140625
Tyler Lauletta,Business Insider,1,1,27.16,0.2258064516129032,0.3548387096774194,0.7096774193548387,1.0,9.580645161290322
Eric Edholm,Yahoo Sports,2,2,26.92,0.234375,0.296875,0.8125,1.0,7.671875
Alex Simpson,Overtime Heroics,1,1,26.92,0.21875,0.25,0.78125,1.0,8.8125
Mike Schneid,Mike Drop Sports,1,1,26.92,0.21875,0.25,0.8125,1.0,6.46875
Staff,NFL Draft Rite,1,1,26.92,0.21875,0.21875,0.75,1.0,9.875
Ben Axelrod,WKYC,3,3,26.763333333333332,0.23017473118279572,0.2516801075268817,0.8111559139784946,1.0,7.488911290322581
Josh Schrock,NBC Sports Bayarea,1,1,26.68,0.21875,0.25,0.78125,1.0,6.75
Charlie Campbell,Walter Football,6,6,26.643333333333334,0.2594758064516129,0.34931451612903225,0.8278965053763442,1.0,6.601344086021506
Scotty Payne,Mile High Report,5,5,26.634000000000004,0.24495967741935484,0.27620967741935487,0.823991935483871,1.0,7.9957661290322575
Erich Richter,NY Post,1,1,26.44,0.21875,0.25,0.84375,1.0,5.71875
John Daigle,Establish The Run,2,2,26.200000000000003,0.21875,0.25,0.84375,1.0,6.328125
Staff,Fantasy First Down,1,1,26.2,0.25,0.375,0.875,1.0,5.53125
Danny Kelly,The Ringer,2,2,25.965,0.25,0.234375,0.828125,1.0,6.75
Matthew Freedman,Action Network,2,2,25.965,0.203125,0.21875,0.796875,1.0,7.265625
Sam Teets,Sports Talk,2,2,25.84,0.21875,0.265625,0.84375,1.0,6.25
Andrew Falce,Still Curtain,1,1,25.72,0.21875,0.25,0.8125,1.0,7.25
Richie Bradshaw,SI,2,2,25.6,0.21875,0.265625,0.796875,1.0,11.609375
Sean Newcomb,The Daily Targum,1,1,25.48,0.25,0.21875,0.8125,1.0,10.875
Kory Woods,M Live,1,1,25.24,0.25,0.21875,0.8125,1.0,13.6875
Jake Rosen,Upside Football,1,1,25.24,0.21875,0.25,0.875,1.0,7.0
Thor Nystrom,Rotoworld,1,1,25.24,0.21875,0.25,0.8125,1.0,8.0
Andrew Erickson,Pro Football Focus,1,1,25.24,0.21875,0.21875,0.78125,1.0,7.25
Mauricio Rodriguez,Inside The Star,1,1,25.24,0.1875,0.1875,0.8125,1.0,9.0
Joe DiTullio,The Game Haus,3,3,25.0,0.20833333333333334,0.20833333333333334,0.75,1.0,9.427083333333334
Alex Butler,UPI,1,1,25.0,0.1875,0.25,0.71875,1.0,9.53125
Justin Melo,Music City Miracles,1,1,25.0,0.1875,0.25,0.71875,1.0,13.34375
Logan Jakubajtys,Fansided,1,1,25.0,0.1875,0.25,0.71875,1.0,11.65625
Mike Freeman,Bleacher Report,1,1,25.0,0.1875,0.25,0.78125,1.0,9.0
Matt Fitzgerald,Whiskey Riff,1,1,25.0,0.1875,0.21875,0.78125,1.0,7.21875
Jacob Infante,Windy City Gridiron,3,3,24.919999999999998,0.21975806451612903,0.2513440860215054,0.8111559139784946,1.0,8.62600806451613
Steve Serby,NY Post,5,5,24.854000000000003,0.2258064516129032,0.26391129032258065,0.8425403225806452,1.0,7.317741935483871
Staff,Tankathon,5,5,24.808,0.2125,0.225,0.8375,1.0,6.69375
Jason Ramirez,Inside The Star,1,1,24.76,0.28125,0.21875,0.78125,1.0,6.25
Conor Orr,SI,1,1,24.76,0.21875,0.28125,0.75,1.0,8.46875
Jess Overby,Black And Teal,1,1,24.76,0.1875,0.21875,0.71875,1.0,11.25
Tony Mario,Draft Utopia,2,2,24.64,0.1875,0.234375,0.796875,1.0,8.6875
Sam Farmer,LA Times,2,2,24.634999999999998,0.21875,0.203125,0.859375,1.0,8.1875
Connor Rogers,NBC Sports,2,2,24.520000000000003,0.203125,0.203125,0.859375,1.0,7.859375
Staff,Cards Wire,1,1,24.52,0.21875,0.28125,0.75,1.0,7.28125
Bruce Nolan,Buffalo Rumblings,1,1,24.52,0.21875,0.25,0.8125,1.0,6.8125
Alfredo Brown,Football Guys,1,1,24.52,0.21875,0.21875,0.84375,1.0,10.5625
Theo Mackie,Arizona Republic,1,1,24.52,0.21875,0.1875,0.8125,1.0,10.625
Ray Mencio,NFL Rough Draft,1,1,24.52,0.1875,0.25,0.84375,1.0,5.25
Kyle Meinke,M Live,2,2,24.4,0.1875,0.203125,0.765625,1.0,8.265625
Nick Guarisco,Fantasy Law Guy,2,2,24.395,0.203125,0.25,0.90625,1.0,5.828125
Dan Hope,Eleven Warriors,4,4,24.3375,0.21875,0.234375,0.8203125,1.0,7.78125
Eddie Brown,San Diego Union Tribune,4,4,24.3375,0.2036290322580645,0.27469758064516125,0.8109879032258065,1.0,7.8671875
Matt Johnson,Sportsnaut,1,1,24.28,0.21875,0.25,0.875,1.0,4.78125
Staff,Predominately Orange,1,1,24.28,0.21875,0.25,0.78125,1.0,8.0
Scott Smith,Buccaneers.com,1,1,24.28,0.1875,0.21875,0.8125,1.0,6.71875
Staff,My NFL Draft,2,2,24.275,0.1875,0.21875,0.828125,1.0,6.640625
Jason La Canfora,CBS,3,3,24.2,0.22916666666666666,0.20833333333333334,0.8125,1.0,8.375
Mitch Vosburg,Daily Press,1,1,24.04,0.2258064516129032,0.2258064516129032,0.8387096774193549,1.0,11.258064516129032
Zack Pearson,247 Sports,2,2,24.04,0.203125,0.234375,0.828125,1.0,8.328125
Jeremy Hayes,Buzzfeed,1,1,24.04,0.1875,0.28125,0.75,1.0,8.15625
Dylan Mickanen,NBC Sports Northwest,1,1,24.04,0.1875,0.25,0.75,1.0,9.53125
Jason Pruett,DRAFTPLEX,5,5,23.990000000000002,0.2068548387096774,0.2703629032258065,0.8298387096774194,1.0,7.681854838709677
Andrew Erickson,Fantasy Pros,4,4,23.9775,0.1958165322580645,0.25907258064516125,0.8422379032258065,1.0,7.220766129032258
Richard Janvrin,Fantasy Pros,1,1,23.8,0.21875,0.25,0.875,1.0,6.4375
Keith Lott,Fantasy Six Pack,1,1,23.8,0.1875,0.3125,0.8125,1.0,8.9375
Evan Wanish,Bucs Nation,2,2,23.560000000000002,0.203125,0.265625,0.859375,1.0,8.515625
Cole Thompson,Texans Wire,1,1,23.56,0.21875,0.25,0.84375,1.0,11.0625
Kyle Dvorchak,NBC Sports,2,2,23.44,0.203125,0.21875,0.84375,1.0,6.296875
Josh Norris,Underdog Fantasy,5,5,23.413999999999998,0.1879032258064516,0.2574596774193548,0.8423387096774194,1.0,6.557661290322581
Rob Maaddi,AP News,1,1,23.32,0.2580645161290322,0.2903225806451613,0.7741935483870968,1.0,7.838709677419355
Staff,SB Nation,1,1,23.32,0.21875,0.21875,0.875,1.0,5.34375
Karen Guregian,Boston Herald,1,1,23.32,0.1875,0.21875,0.71875,1.0,9.25
Michael Middlehurst-Schwartz,USA Today,5,5,23.316,0.2133064516129032,0.24495967741935484,0.8491935483870968,1.0,7.179233870967742
Liam Blutman,Barstool Sports,2,2,23.314999999999998,0.203125,0.21875,0.828125,1.0,10.453125
John McClain,Houston Chronicle,2,2,23.314999999999998,0.171875,0.1875,0.71875,1.0,9.0
Scott Smith,4 For 4,3,3,23.153333333333336,0.19892473118279572,0.26276881720430106,0.8840725806451614,1.0,5.56619623655914
Kevin Hanson,EDS Football,1,1,23.08,0.1875,0.25,0.78125,1.0,7.0
Russell Brown,Lions Wire,2,2,23.075000000000003,0.203125,0.234375,0.84375,1.0,7.9375
Jon Ledyard,Pewter Report,3,3,22.99666666666667,0.20833333333333334,0.23958333333333334,0.8020833333333334,1.0,8.510416666666666
Johnny McGonigal,Penn Live,1,1,22.84,0.25,0.28125,0.875,1.0,5.90625
Roy Countryman,SI,1,1,22.84,0.21875,0.25,0.75,1.0,8.59375
Danny Parkins,Fox Sports,1,1,22.84,0.21875,0.1875,0.875,1.0,10.5
Charley Casserly,NFL.com,2,2,22.84,0.1875,0.234375,0.78125,1.0,7.453125
Chris Tomasson,Denver Gazette,1,1,22.84,0.1875,0.15625,0.90625,1.0,4.28125
Chris Tomasson,Twin City Pioneer Press,1,1,22.84,0.15625,0.25,0.78125,1.0,8.6875
Ben Axelrod,The Comeback,1,1,22.84,0.15625,0.21875,0.78125,1.0,7.8125
John Clayton,Washington Post,2,2,22.835,0.171875,0.203125,0.796875,1.0,7.875
Daniel Harms,The Draft Network,1,1,22.6,0.21875,0.15625,0.78125,1.0,13.0625
Eric Walden,The Salt Lake Tribune,1,1,22.6,0.1875,0.21875,0.6875,1.0,11.125
Barry Wilner,St. Louis Post-Dispatch,1,1,22.6,0.15625,0.15625,0.78125,1.0,7.46875
Cam Inman,The Mercury News,2,2,22.595,0.171875,0.15625,0.796875,1.0,7.359375
Daniel Jeremiah,NFL.com,6,6,22.516666666666666,0.18850806451612903,0.24109543010752688,0.8323252688172044,1.0,6.802083333333333
Timo Riske,Pro Football Focus,1,1,22.36,0.1875,0.21875,0.875,1.0,8.0625
Staff,NFL Draft Pro,1,1,22.36,0.15625,0.15625,0.8125,1.0,8.90625
James Dator,SB Nation,2,2,22.355,0.21875,0.25,0.828125,1.0,8.390625
Andrew Aziz,Stampede Blue,2,2,22.235,0.203125,0.28125,0.796875,1.0,8.203125
James Rapien,SI,1,1,22.12,0.21875,0.3125,0.78125,1.0,10.40625
Bill Huber,SI,1,1,22.12,0.21875,0.1875,0.875,1.0,11.5
Cam Garrity,Patriots Wire,1,1,22.12,0.1875,0.28125,0.8125,1.0,8.71875
Scott Reynolds,Pewter Report,1,1,22.12,0.1875,0.1875,0.8125,1.0,11.375
Trevor Sikkema,Pro Football Focus,4,4,22.115000000000002,0.18876008064516128,0.24420362903225806,0.8422379032258065,1.0,7.680695564516129
Matt Kelley,Player Profiler,1,1,21.88,0.21875,0.25,0.8125,1.0,10.53125
Dave Kluge,Football Guys,1,1,21.88,0.21875,0.15625,0.75,1.0,13.375
Jeff McLane,Philadelphia Inquirer,1,1,21.88,0.1875,0.25,0.875,1.0,5.03125
Parker Gabriel,Denver Post,1,1,21.88,0.1875,0.1875,0.78125,1.0,10.0625
Staff,Penn Live,1,1,21.88,0.1875,0.1875,0.84375,1.0,6.65625
Ari Meirov,33rd Team,1,1,21.88,0.1875,0.15625,0.84375,1.0,11.4375
Michael Renner,CBS,1,1,21.88,0.1875,0.15625,0.8125,1.0,11.0625
Staff,Fueled By Sports,1,1,21.88,0.1875,0.15625,0.78125,1.0,9.46875
Jon Witt,Fantasy Six Pack,1,1,21.88,0.15625,0.21875,0.875,1.0,5.59375
Luis Tirado Jr.,Cat Crave,1,1,21.88,0.15625,0.15625,0.71875,1.0,11.59375
Vinnie Iyer,Sporting News,6,5,21.876666666666665,0.171875,0.203125,0.78125,1.0,9.484375
Jimmy Kempski,Philly Voice,6,6,21.756666666666664,0.1880040322580645,0.2143817204301075,0.8373655913978495,1.0,7.951444892473119
Michael Renner,Pro Football Focus,2,2,21.755,0.171875,0.234375,0.796875,1.0,9.265625
Brad Biggs,Chicago Tribune,2,2,21.755,0.171875,0.203125,0.796875,1.0,7.375
Andrew Callahan,Boston Herald,1,1,21.63,0.1875,0.25,0.84375,1.0,10.09375
Ben Morgan,Loaded Box Podcast,1,1,21.63,0.1875,0.21875,0.71875,1.0,9.28125
Brentley Weissman,Pro Football Network,1,1,21.63,0.1875,0.15625,0.875,1.0,10.4375
Curt Popejoy,Draftwire,1,1,21.63,0.1875,0.15625,0.8125,1.0,10.59375
Marco Enriquez,Fantasy Pros,1,1,21.63,0.15625,0.25,0.84375,1.0,8.46875
Ryan Kramer,Sports Gambling Podcast,1,1,21.63,0.15625,0.21875,0.8125,1.0,7.21875
J.T. Olson,NFL Draft Geek,1,1,21.63,0.15625,0.1875,0.8125,1.0,9.25
Anthony Staggs,4 For 4,3,3,21.55333333333333,0.167002688172043,0.27251344086021506,0.863239247311828,1.0,6.694220430107527
Pete Fiutak,College Football News,3,3,21.55333333333333,0.15625,0.20833333333333334,0.75,1.0,9.447916666666666
Phil Perry,NBC Sports Boston,5,5,21.536,0.18205645161290324,0.20120967741935486,0.8237903225806452,1.0,8.331653225806452
Jeff Bell,Football Guys,2,2,21.515,0.203125,0.21875,0.859375,1.0,8.421875
Tony Pauline,Pro Football Network,2,2,21.515,0.1875,0.1875,0.828125,1.0,7.53125
Staff,Drafttek,5,5,21.490000000000002,0.16310483870967743,0.22641129032258064,0.7483870967741936,1.0,9.427822580645161
Seth Trachtman,Yardbarker,1,1,21.39,0.2258064516129032,0.1612903225806451,0.7419354838709677,1.0,13.741935483870968
Joe Serpico,Press Box,1,1,21.39,0.1875,0.25,0.84375,1.0,7.25
John Shipley,SI,1,1,21.39,0.1875,0.1875,0.84375,1.0,11.5
Ryan Mink,BaltimoreRavens.com,1,1,21.39,0.1875,0.1875,0.84375,1.0,11.15625
Bryan DeArdo,CBS,1,1,21.39,0.15625,0.1875,0.75,1.0,10.1875
Ryan Wilson,CBS,7,6,21.327142857142857,0.18346774193548385,0.23732718894009214,0.8027073732718895,1.0,9.525921658986176
Matthew Jones,Fantasy Pros,3,3,21.313333333333333,0.17842741935483872,0.2315188172043011,0.8420698924731184,1.0,7.895497311827957
Keith Sanchez,The Draft Network,3,3,21.313333333333333,0.16666666666666666,0.20833333333333334,0.8020833333333334,1.0,11.291666666666666
Micky McKeon,Mockout,2,2,21.275,0.1875,0.203125,0.765625,1.0,9.578125
Joe Marino,The Draft Network,2,2,21.275,0.1875,0.171875,0.859375,1.0,7.875
RJ White,CBS,3,3,21.236666666666668,0.19791666666666666,0.25,0.84375,1.0,7.083333333333333
Lance Zierlein,NFL.com,6,6,21.235,0.18783602150537634,0.23555107526881722,0.8477822580645161,1.0,6.904569892473119
Brady Auer,BA Sports Podcast,1,1,21.15,0.21875,0.15625,0.8125,1.0,11.65625
Staff,Drafticipation,1,1,21.15,0.15625,0.21875,0.90625,1.0,7.5
Justin Rogers,The Detroit News,1,1,21.15,0.15625,0.1875,0.6875,1.0,8.46875
Tim Murray,VSIN,2,2,21.03,0.18901209677419356,0.2373991935483871,0.8412298387096775,1.0,6.168850806451613
Russell Brown,Fantasy Pros,3,3,20.993333333333336,0.17842741935483872,0.2422715053763441,0.8420698924731184,1.0,8.323924731182796
Alexi Iafrato,Boston Herald,1,1,20.91,0.15625,0.21875,0.78125,1.0,7.84375
Hunter Ansley,Drafticipation,1,1,20.91,0.15625,0.1875,0.75,1.0,8.28125
Chris Ransom,Draft Utopia,5,5,20.866,0.16330645161290322,0.19455645161290322,0.7544354838709678,1.0,14.335282258064515
Dave Bryan,Steelers Depot,1,1,20.67,0.1935483870967742,0.2580645161290322,0.7741935483870968,1.0,11.03225806451613
Staff,The Athletic,1,1,20.67,0.15625,0.25,0.8125,1.0,6.875
Henry McKenna,For The Win,2,2,20.67,0.15625,0.1875,0.734375,1.0,14.8125
John Williams,Inside The Star,2,2,20.67,0.140625,0.171875,0.75,1.0,9.796875
Peter Schrager,NFL.com,5,5,20.625999999999998,0.1756048387096774,0.2318548387096774,0.8425403225806452,1.0,6.6600806451612895
Dane Brugler,The Athletic,3,3,20.593333333333334,0.15759408602150538,0.18918010752688172,0.8521505376344086,1.0,6.272513440860216
John Daigle,4 For 4,2,2,20.555,0.1748991935483871,0.25504032258064513,0.8412298387096775,1.0,8.373487903225806
Anthony Rizzuti,Panthers Wire,3,3,20.513333333333332,0.18817204301075266,0.2513440860215054,0.830981182795699,1.0,8.31518817204301
Rob Staton,Seahawks Draft Blog,3,3,20.433333333333334,0.16666666666666666,0.21875,0.8333333333333334,1.0,8.645833333333334
Mark Inabinett,AL.com,1,1,20.43,0.1875,0.25,0.78125,1.0,7.03125
Bob Glauber,Newsday,2,2,20.43,0.15625,0.171875,0.78125,1.0,9.90625
Staff,Fox News,2,2,20.43,0.15625,0.171875,0.765625,1.0,10.6875
Corey Parson,Sports Illustrated,1,1,20.43,0.15625,0.125,0.75,1.0,8.71875
Nate Bouda,NFL Trade Rumors,3,3,20.27,0.16767473118279572,0.2415994623655914,0.8111559139784946,1.0,9.15154569892473
Sean Koerner,Action Network,3,3,20.19333333333333,0.1797715053763441,0.2211021505376344,0.8528225806451614,1.0,6.766801075268817
Mike Kiwak,Bucs Nation,4,4,20.192500000000003,0.18850806451612903,0.22076612903225806,0.8031754032258065,1.0,8.33366935483871
Sean Hammond,Shaw Local News Network,1,1,20.19,0.1935483870967742,0.1612903225806451,0.8064516129032258,1.0,7.870967741935484
Ryan McCrystal,Sharp Football Analysis,1,1,20.19,0.1875,0.28125,0.84375,1.0,8.0
Mark Morales-Smith,Sports Illustrated,1,1,20.19,0.1875,0.25,0.71875,1.0,10.34375
Dan Wilkins,The Score,1,1,20.19,0.15625,0.28125,0.84375,1.0,8.53125
Staff,Draft Kings,1,1,20.19,0.125,0.125,0.78125,1.0,8.875
Kevin Hanson,Sports Illustrated,2,2,20.075,0.171875,0.15625,0.828125,1.0,7.515625
Ryan Fowler,The Draft Network,3,3,20.029999999999998,0.18884408602150538,0.17943548387096775,0.8101478494623656,1.0,9.082661290322582
Nick Guarisco,Action Network,3,2,19.953333333333333,0.15927419354838707,0.25504032258064513,0.8511424731182796,1.0,7.401209677419355
Matt Robinson,Battle Red Blog,1,1,19.95,0.1875,0.25,0.875,1.0,7.75
Mike Tagliere,Fantasy Pros,1,1,19.95,0.15625,0.1875,0.75,1.0,8.28125
Staff,Acme Packing Company,1,1,19.95,0.15625,0.125,0.75,1.0,7.90625
Tyler Calvaruso,Jets Wire,1,1,19.95,0.125,0.15625,0.75,1.0,9.4375
Jake Rosen,Field 2 Court,2,2,19.83,0.140625,0.203125,0.828125,1.0,6.875
Josh Edwards,CBS,8,6,19.8,0.16519657258064516,0.20047883064516128,0.7913306451612904,1.0,8.470514112903226
Brandon Holtz,Microsoft Sports,1,1,19.71,0.2258064516129032,0.1290322580645161,0.7741935483870968,1.0,8.612903225806452
D Wash,Mock Draft HQ,1,1,19.71,0.1875,0.125,0.8125,1.0,14.8125
Derek Brown,Fantasy Pros,1,1,19.71,0.15625,0.28125,0.84375,1.0,7.09375
Brian Miller,Phin Phanatic,1,1,19.71,0.15625,0.21875,0.78125,1.0,7.78125
Staff,Nevada Sagebrush,1,1,19.71,0.15625,0.1875,0.6875,1.0,10.03125
Chet Gresham,Draft Kings,3,3,19.709999999999997,0.16834677419354838,0.2315188172043011,0.863239247311828,1.0,6.560483870967741
Kent Weyrauch,Fantasy Pros,3,3,19.63,0.14684139784946237,0.1895161290322581,0.8424059139784946,1.0,7.450604838709677
Calvin Watkins,Dallas Morning News,2,2,19.59,0.15776209677419356,0.19002016129032256,0.841733870967742,1.0,6.965725806451613
Staff,Uproxx,2,2,19.59,0.141633064516129,0.18901209677419356,0.8251008064516129,1.0,7.041834677419355
Glenn Erby,Eagles Wire,1,1,19.47,0.1935483870967742,0.1612903225806451,0.8709677419354839,1.0,7.709677419354839
