author_name,mock_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Jess Root,Cards Wire,2,2,19.47,0.17338709677419356,0.20463709677419356,0.8089717741935484,1.0,8.363407258064516
Benjamin Allbright,KOA,2,2,19.47,0.171875,0.1875,0.859375,1.0,8.796875
Donnie Druin,SI,1,1,19.47,0.15625,0.25,0.84375,1.0,9.125
Benjamin Solak,The Ringer,1,1,19.47,0.15625,0.15625,0.8125,1.0,6.46875
Bucky Brooks,NFL.com,1,1,19.47,0.15625,0.15625,0.75,1.0,7.53125
Rob Rang,NFL Draft Scout,1,1,19.47,0.125,0.21875,0.78125,1.0,7.3125
Ian Valentino,33rd Team,1,1,19.47,0.125,0.1875,0.8125,1.0,7.78125
Nick Barrett,Football Nick,4,4,19.4125,0.16507056451612903,0.21244959677419356,0.8266129032258065,1.0,7.545866935483871
Glynn Morgan,NBC Sports Chicago,3,3,19.393333333333334,0.14616935483870966,0.21001344086021503,0.8000672043010754,1.0,8.035618279569894
Jacob Camenker,Sporting News,3,3,19.39,0.14684139784946237,0.2315188172043011,0.852486559139785,1.0,7.700268817204301
Pete Prisco,CBS,9,6,19.311111111111114,0.15300179211469533,0.18111559139784944,0.8397177419354839,1.0,8.22345430107527
Sean Balzer,NFL Draft Lounge,3,3,19.31,0.15725806451612903,0.19892473118279572,0.8629032258064516,1.0,8.332325268817204
Kyle Stackpole,CBS,2,2,19.23,0.18951612903225806,0.172883064516129,0.8724798387096775,1.0,6.673891129032258
Chase Hammes,Steel City Underground,1,1,19.23,0.15625,0.15625,0.75,1.0,10.8125
Nathan Nguyen,Belly Up Sports,1,1,19.23,0.15625,0.125,0.75,1.0,14.5625
Brad Menendez,Draft Countdown,2,2,19.23,0.140625,0.1875,0.796875,1.0,8.5625
Kristopher Knox,Bleacher Report,1,1,19.23,0.125,0.125,0.65625,1.0,12.125
Staff,Pro Football Focus,2,2,18.990000000000002,0.1875,0.203125,0.734375,1.0,10.828125
Steven Cheah,Barstool Sports,4,4,18.990000000000002,0.16481854838709678,0.25126008064516125,0.8117439516129032,1.0,8.773185483870968
Daniel Garrett,Around The Block,1,1,18.99,0.1935483870967742,0.1935483870967742,0.8387096774193549,1.0,7.32258064516129
Brian Lamb,Draft Countdown,1,1,18.99,0.15625,0.15625,0.75,1.0,15.71875
Charlie Wilson,The Mirror,1,1,18.99,0.15625,0.15625,0.875,1.0,10.875
Staff,Yahoo,1,1,18.99,0.15625,0.15625,0.8125,1.0,11.78125
Alan Goldsher,SI,1,1,18.99,0.15625,0.125,0.8125,1.0,12.90625
John McKechnie,Rotowire,1,1,18.99,0.15625,0.125,0.75,1.0,13.34375
Joe Hopkins,CBS 4,1,1,18.99,0.125,0.21875,0.75,1.0,7.75
DraftGeek,DraftBlaster,1,1,18.99,0.125,0.1875,0.71875,1.0,8.96875
Vincent Parise,Bears Wire,1,1,18.99,0.125,0.15625,0.8125,1.0,12.125
Aaron Wilson,Houston Chronicle,1,1,18.99,0.125,0.125,0.6875,1.0,11.75
Rhett Lewis,NFL.com,1,1,18.99,0.125,0.125,0.75,1.0,7.9375
Doug Farrar,Touchdown Wire,2,2,18.87,0.17439516129032256,0.15776209677419356,0.7318548387096775,1.0,10.552923387096774
Hayden Winks,Underdog Fantasy,4,4,18.869999999999997,0.15725806451612903,0.22026209677419356,0.8503024193548387,1.0,6.511088709677419
Andrew Harbaugh,Vikings Wire,1,1,18.75,0.1875,0.15625,0.78125,1.0,15.6875
Newy Scruggs,The Dallas Morning News,1,1,18.75,0.1875,0.125,0.71875,1.0,8.625
Will Brinson,CBS,4,4,18.75,0.16481854838709678,0.19682459677419356,0.7638608870967742,1.0,9.422379032258064
Staff,Takeaways,3,3,18.75,0.15725806451612903,0.19959677419354838,0.8424059139784946,1.0,7.238911290322581
Zack Pearson,Bear Report,1,1,18.75,0.15625,0.1875,0.75,1.0,7.78125
Chris Fallica,Fox Sports,1,1,18.75,0.15625,0.15625,0.75,1.0,13.625
Ryland Scholes,Ralphie Report,1,1,18.75,0.15625,0.15625,0.75,1.0,16.40625
Nick Suss,Nashville Tennessean,1,1,18.75,0.15625,0.125,0.78125,1.0,11.4375
Ryan Noonan,4 For 4,4,4,18.75,0.14919354838709678,0.18094758064516128,0.8422379032258065,1.0,7.996975806451613
Mike Luchene,NFL Rough Draft,1,1,18.75,0.125,0.1875,0.84375,1.0,6.5625
Matthew Tabeek,AtlantaFalcons.com,1,1,18.75,0.125,0.15625,0.75,1.0,10.0
Salvatore Stefanile,Fantasy Pros,1,1,18.75,0.125,0.125,0.71875,1.0,12.40625
Cory Bonini,The Huddle,3,3,18.59,0.15625,0.17708333333333334,0.8020833333333334,1.0,10.3125
Kevin Fielder,Vikings Wire,1,1,18.51,0.1935483870967742,0.2580645161290322,0.8064516129032258,1.0,8.096774193548388
Manish Mehta,NY Daily News,1,1,18.51,0.1875,0.21875,0.8125,1.0,7.3125
Skyler Carlin,Clutch Points,1,1,18.51,0.15625,0.21875,0.75,1.0,10.8125
Cayden Steele,NJ.com,1,1,18.51,0.15625,0.1875,0.8125,1.0,11.5
Kyle Crabbs,33rd Team,1,1,18.51,0.15625,0.1875,0.78125,1.0,11.1875
Nolan Bianchi,The Detroit News,1,1,18.51,0.15625,0.125,0.84375,1.0,8.0
Shan Reddy,Stanford Daily,1,1,18.51,0.15625,0.125,0.75,1.0,7.90625
Carter Landis,SI,1,1,18.51,0.125,0.1875,0.84375,1.0,5.65625
Dante Collinelli,Blue Chip Scouting,1,1,18.51,0.125,0.15625,0.84375,1.0,7.4375
Logan Lamorandier,SI,2,2,18.509999999999998,0.140625,0.1875,0.828125,1.0,7.796875
Cris Collinsworth,Pro Football Focus,3,3,18.43,0.14751344086021503,0.16868279569892475,0.7785618279569894,1.0,12.113911290322582
Cody Williams,NFL Spin Zone,1,1,18.27,0.15625,0.1875,0.75,1.0,9.0625
Mike Tanier,Bleacher Report,1,1,18.27,0.15625,0.1875,0.71875,1.0,11.65625
Austin Mock,The Athletic,1,1,18.27,0.15625,0.15625,0.84375,1.0,7.8125
Jason McIntyre,Fox Sports,2,2,18.27,0.125,0.203125,0.796875,1.0,9.0625
T.J. Besler,Fantasy Data,1,1,18.27,0.125,0.125,0.8125,1.0,6.21875
Jeremy Bissett,The Huddle Report,3,3,18.11,0.14684139784946237,0.28461021505376344,0.8000672043010754,1.0,10.25739247311828
Evan Silva,Establish The Run,4,4,18.09,0.14138104838709678,0.17338709677419356,0.8344254032258065,1.0,7.230342741935484
Owain Jones,Ninety Nine Yards,1,1,18.03,0.1875,0.125,0.78125,1.0,6.21875
Adam Aizer,CBS,1,1,18.03,0.1612903225806451,0.2258064516129032,0.8387096774193549,1.0,7.967741935483871
Ryan Schlipp,Packernet,1,1,18.03,0.15625,0.1875,0.84375,1.0,8.5625
Ryan O'Halloran,Denver Post,1,1,18.03,0.15625,0.125,0.8125,1.0,7.4375
Staff,Bleacher Report,4,4,17.97,0.140625,0.2109375,0.7890625,1.0,8.0859375
Charles McDonald,Yahoo Sports,1,1,17.79,0.1875,0.15625,0.75,1.0,8.8125
Cory Kinnan,Browns Wire,1,1,17.79,0.15625,0.1875,0.75,1.0,15.75
Thor Nystrom,NBC Sports,2,2,17.785,0.140625,0.21875,0.796875,1.0,8.140625
Andrew Wilbar,Behind The Steel Curtain,3,3,17.706666666666667,0.1875,0.19791666666666666,0.7708333333333334,1.0,9.791666666666666
Chris McGlynn,The Aftermath,2,2,17.67,0.15625,0.1875,0.765625,1.0,11.734375
Mike Mulhern,NBC Sports Philadelphia,5,5,17.594,0.15,0.2125,0.81875,1.0,8.53125
Tom Downey,Chat Sports,1,1,17.55,0.15625,0.25,0.90625,1.0,6.375
Ric Serritella,SI,1,1,17.55,0.15625,0.125,0.875,1.0,9.0625
Mark Maske,Washington Post,1,1,17.55,0.125,0.21875,0.78125,1.0,13.40625
Jake Oliver,Fantasy Data,1,1,17.55,0.125,0.1875,0.875,1.0,8.5625
Aaron Wilson,Pro Football Network,1,1,17.55,0.125,0.125,0.8125,1.0,8.90625
Christian Williams,Football Guys,1,1,17.55,0.125,0.125,0.8125,1.0,6.6875
Harris Oates,Draft ID,3,3,17.546666666666667,0.13608870967741934,0.2513440860215054,0.7893145161290324,1.0,9.931451612903226
Shane Hallam,Draft Countdown,3,3,17.466666666666665,0.13541666666666666,0.20833333333333334,0.8645833333333334,1.0,7.020833333333333
Brian Bosarge,Draft Countdown,4,4,17.3675,0.13356854838709678,0.18951612903225806,0.8190524193548387,1.0,8.792590725806452
Dave Richard,CBS,2,2,17.310000000000002,0.1905241935483871,0.1910282258064516,0.7772177419354839,1.0,10.551915322580644
Chris Schubert,The Draft Network,1,1,17.31,0.1612903225806451,0.2258064516129032,0.8064516129032258,1.0,8.419354838709678
James Fragoza,Pro Football Network,1,1,17.31,0.1612903225806451,0.1935483870967742,0.7741935483870968,1.0,9.96774193548387
Zachary Mangum,Bama Hammer,1,1,17.31,0.15625,0.15625,0.65625,1.0,10.375
Josh Frey,Purple PTSD,1,1,17.31,0.125,0.21875,0.8125,1.0,10.3125
Dan Schneier,CBS,1,1,17.31,0.125,0.1875,0.6875,1.0,10.71875
Xaiver Aguiar,The Sportswave,1,1,17.31,0.125,0.15625,0.75,1.0,10.84375
Joe Rowles,Mile High Report,2,2,17.305,0.125,0.171875,0.78125,1.0,7.75
Josh Friedman,Courier Post,2,2,17.19,0.1098790322580645,0.17338709677419356,0.8094758064516129,1.0,8.71219758064516
Mitch Vosburg,Manistee News,1,1,17.07,0.15625,0.125,0.75,1.0,15.9375
Reese Jones,Fantrax HQ,1,1,17.07,0.125,0.21875,0.84375,1.0,10.5
Eduardo A. Encina,Tampa Bay Times,1,1,17.07,0.09375,0.09375,0.75,1.0,8.875
C.J. Doon,Baltimore Sun,2,2,17.065,0.140625,0.21875,0.796875,1.0,7.515625
Justin Melo,The Draft Network,3,3,16.986666666666665,0.146505376344086,0.15759408602150538,0.7674731182795699,1.0,11.729166666666666
Connor Hughes,SNY,1,1,16.83,0.6,0.5,1.0,1.0,1.4
Zach Brunner,Flurry Sports,2,2,16.83,0.140625,0.171875,0.859375,1.0,8.453125
Ryan Roberts,College Sports Wire,1,1,16.83,0.125,0.21875,0.84375,1.0,6.40625
J.P. Acosta,SB Nation,2,2,16.825,0.126008064516129,0.19002016129032256,0.7459677419354839,1.0,10.313508064516128
Cam Marino,Stacking The Board,2,2,16.71,0.14264112903225806,0.1905241935483871,0.7782258064516129,1.0,9.43296370967742
Staff,Clutch Points,2,2,16.705,0.125,0.109375,0.796875,1.0,10.625
Justin Fried,The Jet Press,1,1,16.66,0.1290322580645161,0.2580645161290322,0.8387096774193549,1.0,8.870967741935484
Carmen Vitali,The Draft Network,1,1,16.59,0.15625,0.28125,0.8125,1.0,10.0625
Brad Spielberger,Pro Football Focus,1,1,16.59,0.1290322580645161,0.2903225806451613,0.8709677419354839,1.0,7.032258064516129
Adam Hill,Las Vegas Review-Journal,1,1,16.59,0.125,0.15625,0.78125,1.0,8.21875
Mike Florio,NBC Sports,2,2,16.59,0.125,0.15625,0.78125,1.0,10.703125
Mike Randle,FTN Fantasy,1,1,16.59,0.125,0.09375,0.84375,1.0,11.0625
Mike Randle,Last Word on Pro Football,1,1,16.59,0.125,0.09375,0.78125,1.0,8.875
Tyler Forness,Sporting News,1,1,16.59,0.09375,0.15625,0.78125,1.0,7.5625
David Howman,Blogging The Boys,2,2,16.585,0.109375,0.140625,0.8125,1.0,9.703125
Brent Sobleski,Bleacher Report,1,1,16.35,0.125,0.1875,0.8125,1.0,11.75
Adam Stites,Dolphins Wire,1,1,16.35,0.125,0.09375,0.8125,1.0,11.78125
Mason Johnstone,The Draft Network,1,1,16.35,0.125,0.09375,0.71875,1.0,16.78125
John Crumpler,Texans Wire,1,1,16.11,0.2,0.3,0.95,1.0,6.45
Richard Bradshaw,Ebony Bird,1,1,16.11,0.125,0.21875,0.84375,1.0,6.9375
Ben Natan,Bleeding Green Nation,6,5,16.106666666666666,0.15221774193548385,0.16297043010752688,0.7941868279569894,1.0,10.221774193548386
Connor Allen,4 For 4,3,3,16.106666666666666,0.11666666666666665,0.21388888888888888,0.8298611111111112,1.0,7.239583333333333
Mike Hrynyshyn,Blue Chip Scouting,3,2,16.026666666666667,0.11458333333333333,0.16666666666666666,0.8229166666666666,1.0,9.166666666666666
Hunter Haas,Haas Football,2,2,15.985,0.125,0.15625,0.828125,1.0,8.046875
Ken Zalis,Fantasy Pros,1,1,15.87,0.1290322580645161,0.1290322580645161,0.8064516129032258,1.0,10.161290322580646
Bill Zimmerman,Windy City Gridiron,1,1,15.87,0.125,0.15625,0.84375,1.0,8.875
Tori McElhaney,AtlantaFalcons.com,1,1,15.87,0.09375,0.125,0.8125,1.0,7.125
Ian Fitz,NFL Draft Buzz,1,1,15.87,0.09375,0.09375,0.71875,1.0,12.125
Chris Trapasso,CBS,6,6,15.825000000000001,0.13054435483870966,0.19354838709677416,0.7908266129032259,1.0,9.685819892473118
Blake Murphy,Revenge Of The Birds,1,1,15.63,0.1612903225806451,0.0967741935483871,0.8064516129032258,1.0,8.870967741935484
Nick O'Malley,Mass Live,1,1,15.63,0.1290322580645161,0.2580645161290322,0.7741935483870968,1.0,7.419354838709677
Sayre Bedinger,Predominately Orange,1,1,15.63,0.1290322580645161,0.1935483870967742,0.8387096774193549,1.0,6.967741935483871
Cam Marino,NFL Draft Buzz,1,1,15.63,0.125,0.1875,0.78125,1.0,7.28125
Domonique Foxworth,The Undefeated,1,1,15.63,0.09375,0.15625,0.75,1.0,9.84375
Andrew Caley,Covers,3,2,15.543333333333335,0.18259408602150537,0.20376344086021503,0.8712365591397849,1.0,6.205913978494624
Colin Cowherd,Fox Sports,1,1,15.38,0.4,0.2666666666666666,0.9333333333333332,1.0,6.066666666666666
Damian Parson,The Draft Network,1,1,15.38,0.1290322580645161,0.1935483870967742,0.7096774193548387,1.0,11.096774193548388
Jonathan Jones,CBS,1,1,15.38,0.1290322580645161,0.1935483870967742,0.8387096774193549,1.0,8.774193548387096
Paul Bretl,Colts Wire,1,1,15.38,0.125,0.15625,0.84375,1.0,5.71875
Alan Goldsher,Chicago Sports Stuff,1,1,15.14,0.15625,0.125,0.8125,1.0,13.40625
Connor O'Gara,Saturday Down South,1,1,15.14,0.1290322580645161,0.1290322580645161,0.8064516129032258,1.0,11.516129032258064
Luke Easterling,Draftwire,3,3,15.063333333333333,0.13888888888888887,0.1798611111111111,0.8291666666666666,1.0,7.256944444444444
Daniel Kornhauser,Grueling Truth,2,2,15.02,0.11139112903225805,0.22328629032258066,0.8089717741935484,1.0,8.816532258064516
Roy Countryman,Prospectencyclopedia,2,2,15.02,0.1098790322580645,0.25252016129032256,0.8568548387096775,1.0,8.545362903225806
Matthew Freedman,Fantasy Pros,3,2,14.903333333333334,0.09475806451612905,0.16868279569892475,0.8840725806451614,1.0,7.127688172043011
Adam Hermann,NBC Sports Philadelphia,1,1,14.9,0.1290322580645161,0.1935483870967742,0.7419354838709677,1.0,11.290322580645162
Jacob Louque,Baltimore Beatdown,1,1,14.9,0.125,0.1875,0.84375,1.0,9.1875
Art Stapleton,North Jersey,1,1,14.9,0.09375,0.1875,0.75,1.0,9.25
Kyler Cress,Football Sapient,1,1,14.9,0.09375,0.1875,0.84375,1.0,10.71875
Ben Raven,M Live,3,3,14.74,0.09375,0.16666666666666666,0.75,1.0,11.177083333333334
Brentley Weissman,The Draft Network,2,2,14.665,0.14264112903225806,0.14213709677419356,0.8407258064516129,1.0,8.210685483870968
Rob Rang,Fox Sports,2,2,14.665,0.1280241935483871,0.1754032258064516,0.7933467741935484,1.0,10.02671370967742
Bill Richette,Bengals Wire,1,1,14.66,0.15625,0.15625,0.84375,1.0,8.4375
Adrian Broaddus,600 ESPN El Paso,1,1,14.66,0.1290322580645161,0.1290322580645161,0.8709677419354839,1.0,6.129032258064516
Jeff Risdon,Draftwire,2,2,14.66,0.1098790322580645,0.141633064516129,0.8256048387096775,1.0,9.609879032258064
Bill Burt,Eagle Tribune,1,1,14.66,0.0967741935483871,0.1935483870967742,0.8064516129032258,1.0,9.64516129032258
John Laub,Football Diehards,1,1,14.66,0.09375,0.25,0.78125,1.0,7.84375
Paul M Banks,The Sports Bank,3,3,14.503333333333332,0.08333333333333333,0.13541666666666666,0.78125,1.0,11.770833333333334
Tim Bielik,Cleveland.com,4,4,14.4225,0.10231854838709678,0.1736391129032258,0.7951108870967742,1.0,10.931199596774194
Thor Nystrom,Fantasy Life,1,1,14.42,0.15625,0.125,0.8125,1.0,12.59375
Matt Fitzgerald,Barstool Sports,2,2,14.42,0.12651209677419356,0.1255040322580645,0.7933467741935484,1.0,9.625504032258064
Destin Adams,NFL Draft Rite,1,1,14.42,0.125,0.15625,0.75,1.0,10.25
Jason La Canfora,Washington Post,1,1,14.42,0.0967741935483871,0.1612903225806451,0.7741935483870968,1.0,10.516129032258064
Brenden Armour,NFL Mocks,1,1,14.42,0.09375,0.1875,0.75,1.0,9.65625
Peter Bukowski,Acme Packing Company,1,1,14.42,0.09375,0.125,0.75,1.0,10.03125
Dylan Sanders,Saints Wire,2,2,14.305,0.125,0.15625,0.765625,1.0,11.484375
Michael Marino,Stacking The Board,2,2,14.305,0.110383064516129,0.1748991935483871,0.8251008064516129,1.0,9.148689516129032
Staff,NBC Sports Boston,2,2,14.184999999999999,0.09375,0.125,0.84375,1.0,7.96875
Brad Weiss,Just Blog Baby,1,1,14.18,0.0967741935483871,0.1612903225806451,0.8387096774193549,1.0,11.451612903225806
Zack Dietz,SI,1,1,14.18,0.09375,0.1875,0.78125,1.0,9.40625
Mark Schofield,Touchdown Wire,1,1,14.18,0.09375,0.125,0.78125,1.0,15.9375
Matt De Lima,SI,1,1,14.18,0.09375,0.125,0.875,1.0,7.90625
Matt Maiocco,NBC Sports Bayarea,1,1,14.18,0.09375,0.09375,0.8125,1.0,12.0
Staff,Arrowhead Addict,1,1,14.18,0.0625,0.0625,0.75,1.0,9.09375
Jason Bantle,Draft Utopia,2,2,14.065000000000001,0.140625,0.203125,0.78125,1.0,9.953125
Brett Whitefield,Fantasy Points,2,2,14.06,0.11139112903225805,0.14264112903225806,0.8251008064516129,1.0,9.639616935483872
Jarrett Bailey,Going Long,1,1,13.94,0.125,0.125,0.75,1.0,18.0
Nate Davis,USA Today,1,1,13.94,0.09375,0.1875,0.8125,1.0,8.59375
Brian Philpot,The Football Hub,1,1,13.94,0.09375,0.125,0.90625,1.0,8.125
Dane Massey,Ball State Daily News,1,1,13.7,0.0967741935483871,0.1290322580645161,0.8064516129032258,1.0,10.67741935483871
JR Radcliffe,Milwaukee Journal Sentinel,1,1,13.7,0.0625,0.125,0.84375,1.0,5.1875
Newt Westen,0-Tech Draft,1,1,13.7,0.0625,0.09375,0.8125,1.0,6.28125
Chris Congemo,1st Round Sports,1,1,13.22,0.09375,0.15625,0.78125,1.0,17.40625
Mark Craig,Star Tribune,1,1,13.22,0.0625,0.09375,0.71875,1.0,10.28125
Zach Brunner,Let's Go WI,2,2,13.100000000000001,0.1098790322580645,0.12651209677419356,0.8245967741935484,1.0,10.70766129032258
Rob Judin,The Draft Network,2,2,13.1,0.078125,0.0942540322580645,0.7610887096774194,1.0,12.71421370967742
PJ Moran,Fantasy Pros,1,1,12.98,0.15625,0.09375,0.71875,1.0,8.90625
Cody Williams,Fansided,2,2,12.98,0.140625,0.140625,0.796875,1.0,11.046875
Zack Patraw,SI,1,1,12.74,0.0967741935483871,0.1612903225806451,0.7419354838709677,1.0,10.903225806451612
Eric Samulski,AM NY,1,1,12.5,0.0967741935483871,0.1290322580645161,0.7741935483870968,1.0,11.290322580645162
Bobby Sylvester,Fantasy Pros,1,1,12.5,0.09375,0.1875,0.71875,1.0,11.09375
Mike Lockhart,98.5 The Sports Hub,2,2,12.38,0.09627016129032255,0.11189516129032255,0.8563508064516129,1.0,9.057459677419356
Hussam Patel,Five Reason Sports,1,1,12.26,0.1290322580645161,0.1290322580645161,0.8387096774193549,1.0,5.903225806451613
Andrew Golden,Jets X-Factor,1,1,12.26,0.09375,0.125,0.78125,1.0,11.5
Justin Bales,FF Today,1,1,12.26,0.09375,0.09375,0.875,1.0,12.46875
Sawyer Hicks,Draft ID,1,1,12.26,0.0625,0.15625,0.75,1.0,12.65625
Luke Reimer,Flurry Sports,1,1,12.02,0.09375,0.1875,0.84375,1.0,11.4375
Cam Mellor,Pro Football Network,2,2,12.02,0.08014112903225805,0.12752016129032256,0.7777217741935484,1.0,14.920362903225806
Andrew Buller-Russ,Sportsnaut,1,1,12.02,0.064516129032258,0.0967741935483871,0.7741935483870968,1.0,12.870967741935484
Liam Blutman,Transfer Portal CFB,1,1,11.78,0.0967741935483871,0.1290322580645161,0.7419354838709677,1.0,9.741935483870968
Jeff Risdon,RealGM,1,1,11.78,0.09375,0.125,0.8125,1.0,9.375
Brett Gibbons,SI,1,1,11.78,0.0625,0.15625,0.84375,1.0,10.4375
Keith Libby,Draft Dive,1,1,11.78,0.0625,0.09375,0.8125,1.0,14.5625
Tyler Roman,NBC Sports Washington,1,1,11.54,0.0625,0.15625,0.78125,1.0,8.875
Garion Thorne,Draft Kings,1,1,11.3,0.3,0.3,1.0,1.0,2.8
Dylan Chappine,White Wolf Sports,1,1,11.3,0.125,0.1875,0.84375,1.0,9.6875
Christian D'Andrea,For The Win,1,1,11.3,0.09375,0.15625,0.8125,1.0,5.6875
Lou Scataglia,NFL Spin Zone,1,1,11.06,0.4,0.3,1.0,1.0,4.4
Dalton Johnson & Josh Schrock,NBC Sports Bay Area,1,1,11.06,0.0625,0.1875,0.78125,1.0,8.96875
Lorenz Leinweber,SI,1,1,10.82,0.0625,0.15625,0.8125,1.0,10.59375
Craig Strachan,Ninety Nine Yards,1,1,10.82,0.0625,0.09375,0.8125,1.0,13.5625
Randy Gurzi,Dawg Pound Daily,1,1,10.58,0.0967741935483871,0.064516129032258,0.7419354838709677,1.0,12.193548387096774
Conor Dorney,Fansided,1,1,10.58,0.09375,0.09375,0.78125,1.0,9.6875
Tyler Forness,Vikings Wire,1,1,10.58,0.064516129032258,0.1612903225806451,0.7419354838709677,1.0,12.387096774193548
Gilbert Manzano,OC Register,1,1,10.58,0.0625,0.1875,0.75,1.0,8.0625
Sayre Bedinger,NFL Spin Zone,2,1,10.215,0.08064516129032255,0.1290322580645161,0.8064516129032258,1.0,8.53225806451613
Jake Oliver,Dynasty Nerds,1,1,10.1,0.064516129032258,0.0967741935483871,0.8709677419354839,1.0,6.516129032258065
Derek Togerson,NBC San Diego,1,1,9.86,0.125,0.0625,0.71875,1.0,10.625
David P. Woods,The Score,1,1,9.86,0.064516129032258,0.1612903225806451,0.8387096774193549,1.0,6.838709677419355
Patrick Flowers,Bleacher Nation,1,1,9.86,0.064516129032258,0.1612903225806451,0.7741935483870968,1.0,11.774193548387096
Staff,Behind The Steel Curtain,1,1,9.62,0.09375,0.0625,0.75,1.0,13.9375
Mike O'Hara,DetroitLions.com,1,1,9.13,0.0625,0.09375,0.84375,1.0,12.0625
Thor Nystrom,Fantasy Pros,1,1,9.13,0.032258064516129,0.2258064516129032,0.7741935483870968,1.0,10.612903225806452
Scott Gorman,With The First Pick,1,1,9.13,0.03125,0.125,0.78125,1.0,14.1875
Jarrett Bailey,Bears Wire,1,1,9.13,0.03125,0.09375,0.71875,1.0,15.0
Ralph Vacchiano,SNY,1,1,8.89,0.2,0.4,1.0,1.0,4.1
Ben Volin,Boston Globe,1,1,8.89,0.03125,0.125,0.8125,1.0,9.90625
Jim Derry,Nola.com,1,1,8.41,0.4,0.2,0.9,1.0,4.2
Jarrett Bailey,Touchdown Wire,1,1,8.41,0.0625,0.0625,0.75,1.0,16.6875
Jack McKessy,The Draft Network,1,1,8.41,0.032258064516129,0.032258064516129,0.7419354838709677,0.967741935483871,12.133333333333333
Kenneth Arthur,Silver And Black Pride,1,1,7.45,0.03125,0.0625,0.8125,1.0,9.125
John Supowitz,Fantasy Pros,1,1,6.97,0.0666666666666666,0.0666666666666666,0.8,1.0,10.333333333333334
Keith Manlove,Off Tackle Empire,1,1,6.73,0.0,0.03125,0.34375,1.0,49.8125
Spencer Urquhart,Nola.com,1,1,6.49,0.1,0.1,0.9,1.0,9.0
Staff,Pro Football Network,1,1,6.49,0.03125,0.0625,0.8125,1.0,9.46875
Alex Kozora,Steelers Depot,1,1,6.01,0.03125,0.0625,0.8125,1.0,13.9375
Drae Harris,The Draft Network,1,1,6.01,0.03125,0.0625,0.78125,1.0,10.6875
Alex Simpson,Rise N Draft,1,1,6.01,0.0,0.0625,0.78125,1.0,11.0625
Tyler Roman,Hogs Haven,1,1,5.77,0.0,0.09375,0.8125,1.0,12.3125
Natalie Miller,Draftwire,1,1,5.05,0.0,0.0625,0.78125,1.0,13.46875
Mike Frazer,Behind The Steel Curtain,1,1,4.81,0.0,0.0,0.7666666666666667,1.0,12.466666666666669
RJ White,Sportsline,1,1,4.57,0.2,0.3,0.9,1.0,4.5
Landon Belote,TWSN,1,1,,0.1875,0.15625,0.875,1.0,9.84375
